"NMDS1";"NMDS2";"NMDS3";"NMDS4";"Island"
-0.616384265393635;0.489329573085005;-0.243703750821337;-0.264369008135539;"TRE"
-0.631683563859418;0.633993626406707;-0.22508489014324;-0.422202479587554;"TRE"
-0.844571936831699;0.649498501706036;0.210582776908749;-0.0444994863670219;"TRE"
-0.727082077048405;0.283678436269815;-0.0724690924223546;-0.408803022361526;"TRE"
-0.28692269680041;0.0399647579149119;-0.0849267181219299;-0.236876610251222;"TRE"
-0.242319815380163;0.118178634511133;0.680498027809218;-0.0854415649949418;"TRE"
-0.40817664757857;0.324793235050701;0.542896457472086;0.211135569221575;"TRE"
-0.357032700521813;0.0145272249491354;0.200430536706517;-0.151350467060778;"TRE"
-0.792741262607257;0.389574697157871;0.162778700294461;0.116175661433295;"TRE"
-0.678901732714395;0.684420097010205;-0.0616773908560974;-0.0622137643812393;"TRE"
-0.580028630875802;0.269724819789774;-0.329531703735182;-0.137685832930615;"TRE"
-0.521218844081792;-0.152004631714329;0.398995029208111;0.0666262607510525;"TRE"
-0.498520872572269;-0.0334896234796956;-0.633585741534446;0.2198117298264;"RAS"
0.435194239223472;0.268741466862847;-0.284932187786031;0.302931387285717;"RAS"
0.226146220523492;-0.203574880880544;0.165791748712258;-0.168207139180625;"RAS"
0.557252110712367;0.550740061728587;-0.241429914972204;-0.0387536475398542;"RAS"
-0.213476762773964;0.0432856950945207;0.073425191177944;0.148746885266478;"RAS"
-0.132553333893657;0.404736304428619;-0.0682925254789826;0.62089108721833;"RAS"
-0.290699410894634;0.056897520086659;-0.288184947489535;-0.105950665557279;"RAS"
-0.227209892555782;-0.315222921851614;0.296439594052821;-0.143304060669784;"RAS"
0.782291479863623;0.0791010616361815;0.23310691007864;-0.33863469453079;"RAS"
0.123518427795752;-0.435974644269917;0.106518587378529;-0.070454327850865;"RAS"
0.242864094759423;0.0478296480074559;-0.0972830368073823;0.685559181796847;"RAS"
0.17810150788826;-0.373982900765978;0.216610785235754;0.27710392911892;"RAS"
