Scientific_name;Species;Family;Trophic group;Group;Island;Mean;SE;SD;n
Kyphosus spp.;KYPSPP;Kyphosidae;Rov.Herbiv.;RH;ESC;1.09;0.66;4.89;26
Kyphosus spp.;KYPSPP;Kyphosidae;Rov.Herbiv.;RH;TRE;NA;NA;NA;26
Bodianus pulchellus;BODPUL;Labridae;Mob.Invert.;MI;ESC;0.07;0.04;0.3;27
Bodianus pulchellus;BODPUL;Labridae;Mob.Invert.;MI;TRE;NA;NA;NA;27
Bodianus rufus;BODRUF;Labridae;Mob.Invert.;MI;ESC;1.11;0.32;2.37;28
Bodianus rufus;BODRUF;Labridae;Mob.Invert.;MI;TRE;0.14;0.05;0.42;28
Clepticus brasiliensis;CLEBRA;Labridae;Planktivore;PL;ESC;0.64;0.2;1.48;29
Clepticus brasiliensis;CLEBRA;Labridae;Planktivore;PL;TRE;NA;NA;NA;29
Doratonotus megalepis;DORMEG;Labridae;Mob.Invert.;MI;ESC;NA;NA;NA;30
Doratonotus megalepis;DORMEG;Labridae;Mob.Invert.;MI;TRE;0.03;0.02;0.17;30
Halichoeres brasiliensis;HALBRA;Labridae;Mob.Invert.;MI;ESC;1.16;0.25;1.85;31
Halichoeres brasiliensis;HALBRA;Labridae;Mob.Invert.;MI;TRE;0.54;0.1;0.85;31
Halichoeres dimidiatus;HALDIM;Labridae;Mob.Invert.;MI;ESC;0.09;0.04;0.3;32
Halichoeres dimidiatus;HALDIM;Labridae;Mob.Invert.;MI;TRE;NA;NA;NA;32
Halichoeres penrosei;HALPEN;Labridae;Mob.Invert.;MI;ESC;0.18;0.07;0.52;33
Halichoeres penrosei;HALPEN;Labridae;Mob.Invert.;MI;TRE;0.06;0.03;0.25;33
Halichoeres poeyi;HALPOE;Labridae;Mob.Invert.;MI;ESC;3.73;0.54;4;34
Halichoeres poeyi;HALPOE;Labridae;Mob.Invert.;MI;TRE;16.19;1.07;9.08;34
Thalassoma noronhanum;THANOR;Labridae;Planktivore;PL;ESC;0.27;0.13;0.96;35
Thalassoma noronhanum;THANOR;Labridae;Planktivore;PL;TRE;NA;NA;NA;35
Labrisomus kalisherae;LABKAL;Labrisomidae;Carnivore;CA;ESC;NA;NA;NA;36
Labrisomus kalisherae;LABKAL;Labrisomidae;Carnivore;CA;TRE;0.04;0.02;0.17;36
Labrisomus spp.;LABSPP;Labrisomidae;Carnivore;CA;ESC;0.18;0.05;0.37;37
Labrisomus spp.;LABSPP;Labrisomidae;Carnivore;CA;TRE;0.43;0.08;0.68;37
Malacoctenus delalandii;MALDEL;Labrisomidae;Mob.Invert.;MI;ESC;NA;NA;NA;38
Malacoctenus delalandii;MALDEL;Labrisomidae;Mob.Invert.;MI;TRE;0.01;0.01;0.08;38
Malacoctenus sp.n.;MALSSP;Labrisomidae;Mob.Invert.;MI;ESC;1.42;0.3;2.22;39
Malacoctenus sp.n.;MALSSP;Labrisomidae;Mob.Invert.;MI;TRE;1.71;0.2;1.7;39
Lutjanus jocu;LUTJOC;Lutjanidae;Carnivore;CA;ESC;NA;NA;NA;40
Lutjanus jocu;LUTJOC;Lutjanidae;Carnivore;CA;TRE;0.01;0.01;0.08;40
Ocyurus chrysurus;OCYCHR;Lutjanidae;Carnivore;CA;ESC;0.02;0.02;0.15;41
Ocyurus chrysurus;OCYCHR;Lutjanidae;Carnivore;CA;TRE;0.18;0.06;0.51;41
Aluterus scriptus;ALUSCRI;Monacanthidae;Omnivore;OM;ESC;0.02;0.02;0.15;42
Aluterus scriptus;ALUSCRI;Monacanthidae;Omnivore;OM;TRE;NA;NA;NA;42
Cantherhines pullus;CANPUL;Monacanthidae;Omnivore;OM;ESC;0.84;0.12;0.89;43
Cantherhines pullus;CANPUL;Monacanthidae;Omnivore;OM;TRE;0.44;0.08;0.68;43
Mulloidichthy smartinicus;MULSMA;Mullidae;Mob.Invert.;MI;ESC;0.07;0.05;0.37;44
Mulloidichthy smartinicus;MULSMA;Mullidae;Mob.Invert.;MI;TRE;NA;NA;NA;44
Pseudupeneus maculatus;PSEMAC;Mullidae;Mob.Invert.;MI;ESC;0.87;0.16;1.19;45
Pseudupeneus maculatus;PSEMAC;Mullidae;Mob.Invert.;MI;TRE;1.65;0.23;1.95;45
Gymnothorax moringa;GYMMOR;Muraenidae;Carnivore;CA;ESC;0.07;0.04;0.3;46
Gymnothorax moringa;GYMMOR;Muraenidae;Carnivore;CA;TRE;0.01;0.01;0.08;46
Gymnothorax vicinus;GYMVIC;Muraenidae;Carnivore;CA;ESC;0.04;0.03;0.22;47
Gymnothorax vicinus;GYMVIC;Muraenidae;Carnivore;CA;TRE;0.01;0.01;0.08;47
Ogcocephalus vespertilio;OGCVES;Ogcocephalidae;Carnivore;CA;ESC;0.04;0.03;0.22;48
